STT,Test Data Describe,Mô tả test case,Data Type,Question,VN Dich tham khao,Expected result (Context from file PDF),Expected result,"Actual result
(Top k 10, file database: 190 file)",VN,"Comments
1. Chất lượng Answer
2.Trích dẫn ",Result,Report Search Result,Journal Search Result,Manufacturing Search Result ,TYPE HỎI,,,
93,"1. Data01_Hungnvviet tay _04062025
https://drive.google.com/file/d/10_0hQeco3xxzmKOqc_FQP-cyWVHV-FJO/view?usp=sharing 
2. Data02_Chinhttviet tay _05062025
https://drive.google.com/file/d/1XhFQW6jTyLhwxY-qp3np4XTdRNF9qHBq/view?usp=sharing ",Câu hỏi nội dung trong bảng,Data03,工場山形工場ライン3で発生した顧客ABC電子株式会社による事象ケース側面にキズありに関する不具合記録QIS-202406-001を検索してください,"Vui lòng tìm kiếm hồ sơ lỗi QIS-202406-001 liên quan đến trường hợp sự cố liên quan đến vết xước ở mặt bên của Nhà máy Yamagata Line 3 của khách hàng ABC Electronics Co., Ltd.","Data viet tay 01_Hungnv_04062025
Data viet tay 02_Chinhtt_05062025
不適合管理No. : QIS-202406-001
顧客サイト: 山形工場ライン3
顧客名: ABC電子株式会社
タイトル: ケース側面にキズあり","QIS-202406-001
NG品に赤ラベル貼り
2024
ABC電子株式会社
山形工場ライン3
本社工場
外観不良
φ200mm
本社工場
中50％以上
ケース側面にキズあり",,,,,,,,2.Hỏi bảng,,,
94,"1. Data01_Hungnvviet tay _04062025
https://drive.google.com/file/d/10_0hQeco3xxzmKOqc_FQP-cyWVHV-FJO/view?usp=sharing 
2. Data02_Chinhttviet tay _05062025
https://drive.google.com/file/d/1XhFQW6jTyLhwxY-qp3np4XTdRNF9qHBq/view?usp=sharing ","Câu hỏi nội dung trong bảng, câu hỏi có tiếng Nhật và tiếng Anh",Data03,"Yamagata Factory Line 3で発生した顧客ABC Electronics Co.,Ltdによる事象Surface Scratchに関する不具合記録QIS-202406-001を検索してください","Vui lòng tìm kiếm hồ sơ lỗi QIS-202406-001 liên quan đến sự cố Trầy xước bề mặt xảy ra tại Nhà máy Yamagata Line 3 của khách hàng ABC Electronics Co., Ltd.","Data viet tay 01_Hungnv_04062025
Data viet tay 02_Chinhtt_05062025
不適合管理No. : QIS-202406-001
顧客サイト: 山形工場ライン3
顧客名: ABC電子株式会社
タイトル: ケース側面にキズあり","QIS-202406-001
NG品に赤ラベル貼り
2024
ABC電子株式会社
山形工場ライン3
本社工場
外観不良
φ200mm
本社工場
中50％以上
ケース側面にキズあり",,,,,,,,2.Hỏi bảng,,,
95,"Data03_Hungnvviet tay _11062025
https://drive.google.com/file/d/1iyZgsVCoVQDxGZ7RoCcKUYpsZaD_dlxa/view?usp=sharing",Câu hỏi nội dung trong bảng,Data03,会社株式会社シリコンテックによる事象外観不良に関する不具合報告書を検索してください,"Vui lòng tìm kiếm báo cáo lỗi liên quan đến lỗi thẩm mỹ của Silicon Tech Co., Ltd.","過去トラ管理No.: PT-202506-001
進捗: 処理中
起票: 2025/06/05
品質会議
不適合管理No.: QIS-202506-030
識別: 300WAF-20250605-SCR
不適合レベル: B
発生年: 2025
顧客名: 株式会社シリコンテック
顧客サイト: 製造第1ライン（神奈川）
出荷工場: 中部製造所
クレームクラス: 外観不良","過去トラ管理No.: PT-202506-001
顧客名: 株式会社シリコンテック
クレームクラス: 外観不良",,,,,,,,2.Hỏi bảng,,,
96,"Data03_Hungnvviet tay _11062025
https://drive.google.com/file/d/1iyZgsVCoVQDxGZ7RoCcKUYpsZaD_dlxa/view?usp=sharing",Câu hỏi nội dung trong bảng,Data03,2025年06月05日に報告された不具合はありますか？それはどこで発生しましたか？,Có vấn đề nào được báo cáo vào ngày 5 tháng 6 năm 2025 không? Chúng xảy ra ở đâu?,"過去トラ管理No.: PT-202506-001
進捗: 処理中
起票: 2025/06/05
品質会議
不適合管理No.: QIS-202506-030
識別: 300WAF-20250605-SCR
不適合レベル: B
発生年: 2025
顧客名: 株式会社シリコンテック
顧客サイト: 製造第1ライン（神奈川）
出荷工場: 中部製造所
クレームクラス: 外観不良","過去トラ管理No.: PT-202506-001
起票: 2025/06/05
顧客サイト: 製造第1ライン（神奈川）
",,,,,,,,2.Hỏi bảng,,,
97,"Data04_danh maythaohp_11062025
https://drive.google.com/file/d/15L_4EXc3CBkpIbTy367rQRITrlUC3luW/view?usp=sharing ",Câu hỏi nội dung trong bảng,Data03,年2025における株式会社オプトデバイス顧客の不具合報告書を検索してください,Tìm kiếm báo cáo lỗi của khách hàng Optodevices Inc. năm 2025,"過去トラ管理No.: PT-202506-002
進捗: 処理完了
起票: 2025/06/06
品質会議
不適合管理No.: QIS-202506-031
識別: 200WAF-20250606-EDGE
不適合レベル: A
発生年: 2025
顧客名: 株式会社オプトデバイス","不適合管理No.: QIS-202506-031
発生年: 2025
顧客名: 株式会社オプトデバイス",,,,,,,,2.Hỏi bảng,,,
98,"Data04_danh maythaohp_11062025
https://drive.google.com/file/d/15L_4EXc3CBkpIbTy367rQRITrlUC3luW/view?usp=sharing ",Câu hỏi nội dung trong bảng,Data03,仙台テクノセンターで発生した事象形状不良に関する情報を検索してください,Vui lòng tìm kiếm thông tin về lỗi hình dạng xảy ra tại Trung tâm Công nghệ Sendai.,"過去トラ管理No.: PT-202506-002
進捗: 処理完了
起票: 2025/06/06
品質会議
不適合管理No.: QIS-202506-031
識別: 200WAF-20250606-EDGE
不適合レベル: A
発生年: 2025
顧客名: 株式会社オプトデバイス
顧客サイト: 仙台テクノセンター
出荷工場: 東北製造所
クレームクラス: 形状不良","不適合管理No.: QIS-202506-031
顧客サイト: 仙台テクノセンター
クレームクラス: 形状不良",,,,,,,,2.Hỏi bảng,,,
99,"Data05_viettay11072025
https://drive.google.com/file/d/1mbpC3oKuZMS0DDhTQxiXiSUmC-5G1ONe/view?usp=sharing ",Câu hỏi nội dung trong bảng,Data03,製品不良（レーザーマーク不良）はこれまでに発生したことがありますか？また、それはどの不具合報告書に記載されていますか？,Sản phẩm có bị lỗi (lỗi do tia laser) không? Và lỗi này được ghi trong báo cáo lỗi nào?," **不適合管理No.**: NC-2025-00792
**識別**: 製品不良（レーザーマーク不良）
**不適合レベル**: B（顧客影響あり、機能に影響なし）
**発生年**: 2025年
**顧客名**: 株式会社アドバンスドテック
**顧客サイト**: 大阪工場
**出荷工場**: 熊本工場（300mm）
**クレームクラス**: B（外観不良によるクレーム）"," **不適合管理No.**: NC-2025-00792
**識別**: 製品不良（レーザーマーク不良）
",,,,,,,,2.Hỏi bảng,,,
100,"Data05_viettay11072025
https://drive.google.com/file/d/1mbpC3oKuZMS0DDhTQxiXiSUmC-5G1ONe/view?usp=sharing ",Câu hỏi nội dung trong bảng,Data03,"300mmシリコンウェハレーザーマーク不良不適合はこれまでに発生したことがありますか？また、発生状況は何ですか
",Bạn đã bao giờ gặp lỗi đánh dấu laser trên tấm wafer silicon 300mm chưa? Trường hợp nào xảy ra lỗi này?,"- **不適合管理No.**: NC-2025-00792
- **識別**: 製品不良（レーザーマーク不良）
- **不適合レベル**: B（顧客影響あり、機能に影響なし）
- **発生年**: 2025年
- **顧客名**: 株式会社アドバンスドテック
- **顧客サイト**: 大阪工場
- **出荷工場**: 熊本工場（300mm）
- **クレームクラス**: B（外観不良によるクレーム）
- **直経**: 300mm
- **発生工場**: 熊本工場
- **寄与度**: 75%
- **タイトル**: 300mmシリコンウェハレーザーマーク不良不適合
- **担当工場・部門1**: 熊本工場 製造部
- **発生工程**: レーザーマーク工程
- **流出工程**: 最終検査工程
- **担当工場・部門2**: 熊本工場 品質保証部
- **発生月**: 2025年5月
- **不適合状況**: 顧客先での外観検査でレーザーマークの文字が不鮮明（読み取り不可）であることが検出。
- **発生状況**: レーザーマーク工程において、レーザー出力設定の誤りによりマークが不鮮明に形成された。","- **タイトル**: 300mmシリコンウェハレーザーマーク不良不適合
- **発生状況**: レーザーマーク工程において、レーザー出力設定の誤りによりマークが不鮮明に形成された。",,,,,,,,2.Hỏi bảng,,,
101,"Data06_viettay11072025
https://drive.google.com/file/d/1CUB4JWxYmT7pLVwmFDbPl6DI_nf4IraD/view?usp=sharing",Câu hỏi nội dung trong bảng,Data03,"スライス工程における切断面粗さ異常発生と刃物摩耗管理改善はこれまでに発生したことがありますか？また、それはどの不具合報告書に記載されていますか？
","Có bất kỳ bất thường nào về độ nhám bề mặt cắt và cải thiện khả năng quản lý độ mòn của lưỡi dao trong quá trình cắt không? Ngoài ra, điều này đã được ghi nhận trong báo cáo lỗi nào?","過去トラ管理No.        PTR-20250502-005
進捗        是正措置完了、水平展開中
起票        2025年5月2日
🔹 品質会議・不適合情報
項目        内容
品質会議        有
不適合管理No.        NC-20250502-410
識別        スライス工程の異常
不適合レベル        B
発生年        2025
顧客名        株式会社ナノテック
顧客サイト        横浜事業所
出荷工場        埼玉工場
クレームクラス        クラスB
直経        200mm
発生工場        埼玉工場
寄与度        80%（自社起因）
タイトル        スライス工程における切断面粗さ異常発生と刃物摩耗管理改善","不適合管理No.        NC-20250502-410
タイトル        スライス工程における切断面粗さ異常発生と刃物摩耗管理改善",,,,,,,,2.Hỏi bảng,,,
102,"Data06_viettay11072025
https://drive.google.com/file/d/1CUB4JWxYmT7pLVwmFDbPl6DI_nf4IraD/view?usp=sharing",Câu hỏi nội dung trong bảng,Data03,年2025における株式会社ナノテックの不具合報告書を検索してください。,"Tìm kiếm báo cáo lỗi của Nanotech Co., Ltd. trong năm 2025.","過去トラ管理No.        PTR-20250502-005
進捗        是正措置完了、水平展開中
起票        2025年5月2日
🔹 品質会議・不適合情報
項目        内容
品質会議        有
不適合管理No.        NC-20250502-410
識別        スライス工程の異常
不適合レベル        B
発生年        2025
顧客名        株式会社ナノテック","発生年        2025
顧客名        株式会社ナノテック
",,,,,,,,2.Hỏi bảng,,,
103,"Data07_viettay13072025
https://drive.google.com/file/d/1CLhTS5A5eq5LR51-VIy9UZUvTdbD5Y4j/view?usp=sharing ",Câu hỏi nội dung trong bảng,Data03,過去トラ管理番号「QA-20250710-001」の不具合報告書の発生工場はどこですか,"Nhà máy nơi xảy ra báo cáo lỗi có số quản lý lỗi trước đây ""QA-20250710-001"" ở đâu?","項目        記入内容
過去トラ管理No.        QA-20250710-001
進捗        対策実施中
起票        2025年7月10日
品質会議        有
不適合管理No.        NC-20250710-045
識別        チップ表面の微細キズ
不適合レベル        A
発生年        2025
顧客名        株式会社テクノ電子
顧客サイト        福岡事業所
出荷工場        名古屋工場
クレームクラス        クラスA
直経        200mm
発生工場        名古屋工場
寄与度        80%
タイトル        チップ表面微細キズの発生と対策
担当工場・部門1        名古屋工場・製造部",発生工場        名古屋工場,,,,,,,,2.Hỏi bảng,,,
104,"Data07_viettay13072025
https://drive.google.com/file/d/1CLhTS5A5eq5LR51-VIy9UZUvTdbD5Y4j/view?usp=sharing ",Câu hỏi nội dung trong bảng,Data03,過去トラ管理番号「QA-20250710-001」の不具合報告書に書いてある不適合状況は何ですか,"Tình huống không phù hợp được ghi trong báo cáo lỗi cho số quản lý sự cố trước đây ""QA-20250710-001"" là gì?","発生月        7月
不適合状況        チップ表面に幅10μm程度の微細キズを確認
発生状況        研削工程で異物混入による接触キズ発生
不適合原因        研削機内の清掃不十分による異物残存",不適合状況        チップ表面に幅10μm程度の微細キズを確認,,,,,,,,2.Hỏi bảng,,,
105,"Data08_viettay13072025
https://drive.google.com/file/d/1ylmwhQ9xc663K3OhwYCzwrf48ekGndKM/view?usp=sharing ",Câu hỏi nội dung trong bảng,Data03,不適合管理No.NC-20250710-102の不具合報告書に書いてある不適合原因は何ですか,Nguyên nhân gây ra sự không phù hợp được ghi trong báo cáo lỗi về Quản lý sự không phù hợp số NC-20250710-102 là gì?,"発生月        7月
不適合状況        チップ表面に幅10μm程度の微細キズを確認
発生状況        研削工程で異物混入による接触キズ発生
不適合原因        研削機内の清掃不十分による異物残存
発生        有
流出        無",不適合原因        研削機内の清掃不十分による異物残存,,,,,,,,2.Hỏi bảng,,,
